Date,Close,Prediction,Pred_Binary,Actual,Return,Position,Strategy_Return,Position_Change,Transaction_Cost,Cumulative_Return,Strategy_Cumulative_Return,Buy_Hold_Value,Strategy_Value,Buy_Hold_Peak,Strategy_Peak,Buy_Hold_Drawdown,Strategy_Drawdown
2013-01-04,16.000165939331055,0.4378961,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2013-01-07,15.906046867370605,0.46396548,0,1,-0.005882380990130165,0.0,-0.0,0.0,0.0,-0.005882380990130165,0.0,9941.176190098698,10000.0,10000.0,10000.0,-0.005882380990130165,0.0
2013-01-08,15.948850631713867,0.45499694,0,0,0.002691037232580351,0.0,0.0,0.0,0.0,-0.0032071734638104976,0.0,9967.928265361896,10000.0,10000.0,10000.0,-0.0032071734638103866,0.0
2013-01-09,15.699593544006348,0.4440409,0,1,-0.01562852982094387,0.0,-0.0,0.0,0.0,-0.018785579878634273,0.0,9812.144201213658,10000.0,10000.0,10000.0,-0.018785579878634273,0.0
2013-01-10,15.89420223236084,0.45487577,0,0,0.012395778770259103,0.0,0.0,0.0,0.0,-0.0066226630006217535,0.0,9933.773369993782,10000.0,10000.0,10000.0,-0.0066226630006218645,0.0
2013-01-11,15.796751022338867,0.46755463,0,0,-0.006131242612703147,0.0,-0.0,0.0,0.0,-0.012713300459725962,0.0,9872.866995402741,10000.0,10000.0,10000.0,-0.012713300459725851,0.0
2013-01-14,15.233553886413574,0.43070143,0,0,-0.03565271967183958,0.0,-0.0,0.0,0.0,-0.04791275639417103,0.0,9520.87243605829,10000.0,10000.0,10000.0,-0.04791275639417103,0.0
2013-01-15,14.752938270568848,0.45832807,0,1,-0.03154980245767702,0.0,-0.0,0.0,0.0,-0.07795092085240918,0.0,9220.490791475908,10000.0,10000.0,10000.0,-0.07795092085240918,0.0
2013-01-16,15.36531925201416,0.48012745,0,0,0.041509085865760964,0.0,0.0,0.0,0.0,-0.039677506453626,0.0,9603.22493546374,10000.0,10000.0,10000.0,-0.03967750645362589,0.0
2013-01-17,15.261789321899414,0.47994116,0,0,-0.006737896454782399,0.0,-0.0,0.0,0.0,-0.04614805997833993,0.0,9538.5194002166,10000.0,10000.0,10000.0,-0.04614805997833993,0.0
2013-01-18,15.180427551269531,0.48632744,0,1,-0.005331076777028709,0.0,-0.0,0.0,0.0,-0.05123311790451324,0.0,9487.668820954868,10000.0,10000.0,10000.0,-0.051233117904513126,0.0
2013-01-22,15.325241088867188,0.4801416,0,1,0.009539490051157618,0.0,0.0,0.0,0.0,-0.04218236567189548,0.0,9578.176343281046,10000.0,10000.0,10000.0,-0.04218236567189537,0.0
2013-01-23,15.605780601501465,0.4810474,0,0,0.018305716106356895,0.0,0.0,0.0,0.0,-0.02464882797622281,0.0,9753.511720237771,10000.0,10000.0,10000.0,-0.02464882797622281,0.0
2013-01-24,13.677559852600098,0.4056605,0,0,-0.12355810953255675,0.0,-0.0,0.0,0.0,-0.14516137492184422,0.0,8548.386250781557,10000.0,10000.0,10000.0,-0.14516137492184422,0.0
2013-01-25,13.355130195617676,0.49316067,0,1,-0.023573624276345462,0.0,-0.0,0.0,0.0,-0.16531301948634436,0.0,8346.869805136557,10000.0,10000.0,10000.0,-0.16531301948634425,0.0
