date,num_headlines,avg_sentiment
2025-02-24,34,0.095
2025-02-25,31,0.055280645161290325
2025-02-26,30,0.09948
2025-02-27,20,0.10473999999999999
2025-02-28,19,0.05742631578947368
2025-03-01,21,0.15262380952380952
2025-03-02,16,0.32685
2025-03-03,22,0.02492727272727273
2025-03-04,26,0.27626538461538463
2025-03-05,27,0.11198148148148147
2025-03-06,24,0.13709166666666664
2025-03-07,19,0.03613684210526316
2025-03-08,6,-0.01811666666666668
2025-03-09,19,0.1879473684210526
2025-03-10,22,0.1498045454545454
2025-03-11,34,0.11150882352941176
2025-03-12,26,0.10649230769230768
2025-03-13,24,0.15125416666666666
2025-03-14,22,0.12780000000000002
2025-03-15,22,0.19515909090909095
2025-03-16,23,0.2643782608695653
2025-03-17,25,0.13749599999999998
2025-03-18,28,0.04485
2025-03-19,22,0.13652272727272727
2025-03-20,28,0.17177142857142855
2025-03-21,21,0.2883952380952381
2025-03-22,13,0.2258307692307692
2025-03-23,23,0.18084782608695651
