Date,Close,High,Low,Open,Volume,SMA20,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,Return,Target,num_headlines,avg_sentiment,gdelt_sentiment
2020-04-27,68.71942901611328,69.05189812563647,67.93800218832392,68.38695250061332,117087600,65.14839820861816,65.85456726408684,58.679481685435434,1.566535823353604,1.4426239318073169,0.12391189154628712,0.0007068236255074467,0,0.0,0.0,-0.8573506191307225
2020-04-28,67.60550689697266,69.36492949955759,67.51329510571802,69.18292026480744,112004800,65.43682174682617,66.02132341959977,55.564030454151435,1.5064054943722454,1.4553802443203026,0.051025250051942805,-0.016209711505016045,1,0.0,0.0,2.734375
2020-04-29,69.82606506347656,70.29686314335906,68.89417814207438,69.09802771182059,137280800,65.84258232116699,66.38367976663565,60.11060341001258,1.6192663667789162,1.4881574688120254,0.13110889796689085,0.03284581786936269,1,0.0,0.0,-0.715528447179283
2020-04-30,71.29907989501953,71.47623821292636,69.97648392480959,70.36719351970498,183064000,66.48434600830078,66.85181311219601,62.827662157628644,1.806742405889807,1.551874456227582,0.25486794966222504,0.021095486767067628,0,0.0,0.0,-0.16855638634249703
2020-05-01,70.15123748779297,72.56103877053023,69.36981062017894,69.46688076275679,240616800,67.01993980407715,67.16604400511001,59.43054071177254,1.8414699093929272,1.6097935468606512,0.23167636253227597,-0.016098979242321843,1,0.0,0.0,0.98039215686275
2020-05-04,71.14379119873047,71.27241079901312,69.4838673851674,70.17550415897956,133568000,67.64787216186524,67.5448770711691,61.37536767347474,1.9268707291423226,1.6732089833169856,0.25366174582533696,0.01414876980766322,1,0.0,0.0,0.0
2020-05-05,72.21156311035156,73.04637946818022,71.4592567243347,71.60486560646302,147751200,68.0736515045166,67.98932336061505,63.407637437291235,2.056999948629212,1.749967176379431,0.30703277224978076,0.01500864507822497,1,0.0,0.0,0.3805004373406379
2020-05-06,72.95658874511719,73.58997737842726,72.52947133643356,72.9153300566067,142333600,68.57356986999511,68.46239625437715,64.79933625189975,2.1949436903323942,1.8389624791700236,0.3559812111623706,0.010317262259329496,1,0.0,0.0,1.11251387844275
2020-05-07,73.71131134033203,74.05834791180315,73.2817722099888,73.58512093632648,115215200,69.0306552886963,68.96229292923,66.20166839627638,2.338211459201517,1.9388122751763224,0.3993991840251947,0.010344817489364333,1,0.0,0.0,0.798409352727455
2020-05-08,75.46578979492188,75.51932400836401,74.04470854157813,74.37321360469922,133838400,69.55216598510742,69.58167358310541,69.26682607525504,2.5637703974656745,2.063803899634193,0.4999664978314815,0.023802024718964088,1,0.0,0.0,1.95258019525802
